id,name,imageUrl,category,location,Count,tasks,order
p1,フェルミ ハンドタオル 200組✕3個,https://imgix.cainz.com/4970240162362/product/4970240162362_01.jpg?auto=format&w=691,キッチン,キッチン用品,3,,0
p2,ネピア 激吸収 キッチンタオル 2R,https://item-shopping.c.yimg.jp/i/n/wakeari_4901121334196,キッチン,キッチン用品,3,,1
p3,COOP キッチンタオル 120カット✕2ロール,https://goods.jccu.coop/lineup/com-images/00216476.jpg,キッチン,キッチン用品,3,,2
p4,COOP キッチンペーパー ソフトパック 100組✕3パック,https://goods.jccu.coop/lineup/com-images/00220338.jpg,キッチン,キッチン用品,3,,3
p5,リーデキッチンタオル 50カット✕4ロール,https://gdiec.itembox.design/product/029/000000002901/000000002901-01-l.jpg?t=20250816170835,キッチン,キッチン用品,12,,4
p6,COOP キッチンタオル 120カット✕4ロール,https://goods.jccu.coop/lineup/com-images/00216475.jpg,キッチン,キッチン用品,6,,5
p7,ネピア 激吸収 キッチンタオル 4R,https://www.nepia.co.jp/images/product/homeuse/kitchen/gekikyusyu/home-kitchen01.png,キッチン,キッチン用品,6,,6
p8,ネピア激吸収ハンドタオル100組✕5コパック,https://www.nepia.co.jp/images/product/homeuse/handtowel/gekikyusyu/home_hand01.png,キッチン,キッチン用品,12,,7
p9,ネピアソフトパックティシュ200組5コパック,https://www.nepia.co.jp/images/product/homeuse/tissu/yosoiki/yosoiki_07.png,ティッシュ,トイレ用品,6,,8
p10,エコカラー 花束 ピンク 12ロール ダブル,https://tse1.mm.bing.net/th/id/OIP.f9qPFGbNZqN1fwk4q_9zOQAAAA?cb=thfc1&rs=1&pid=ImgDetMain&o=7&rm=3,トイレットペーパー,レジ前,8,,9
p11,COOP トイレットロール ダブル 30m✕12ロール,https://goods.jccu.coop/lineup/com-images/00171791.jpg,トイレットペーパー,レジ前,16,,10
p12,クリネックス 長持ち 8ロール （ダブル）,https://m.media-amazon.com/images/I/71af1N3fn8L._AC_SY300_SX300_QL70_ML2_.jpg,トイレットペーパー,レジ前,10,,11
p13,クリネックス 長持ち 8ロール （シングル）,https://m.media-amazon.com/images/I/71pbZ3BibnL._AC_SL1500_.jpg,トイレットペーパー,レジ前,10,,12
p14,COOP ティシュ 200組✕5個パック,https://goods.jccu.coop/lineup/com-images/00221562.jpg,ティッシュ,レジ前,15,,13
p15,エリエール i:na イーナ ティシュー ソフトパック 150組,https://imgix.cainz.com/4902011717037/product/4902011717037_02.jpg,ティッシュ,トイレ用品,3,,14
p16,COOP グリーンキーパーコンパクト 180組✕6パック,https://goods.jccu.coop/lineup/com-images/00211231.jpg,ティッシュ,トイレ用品,5,,15
p9,ネピアソフトパックティシュ200組5コパック,https://www.nepia.co.jp/images/product/homeuse/tissu/yosoiki/yosoiki_07.png,ティッシュ,トイレ用品,4,,15.1
p17,スコッティ ティッシュ ホワイト 200組✕5箱パック,https://item-shopping.c.yimg.jp/i/n/himejiryutsuu_101-30392,ティッシュ,トイレ用品,2,,16
p18,ナクレティシュ 200組✕5個コ,https://tshop.r10s.jp/sunday-netshop/cabinet/thumbnailimg/1/main-s4957250731108x.jpg?fitin=720%3A720,ティッシュ,トイレ用品,3,,17
p19,ネピアプレミアムソフトティシュ 180組✕5コ,https://item-shopping.c.yimg.jp/i/n/kilat_9q0051,ティッシュ,トイレ用品,6,,18
p20,Lala（ララ）ティシュ 150組✕5パック,https://goods.jccu.coop/lineup/com-images/00226194.jpg,ティッシュ,トイレ用品,3,,19
